epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,908.698,2.0431,1.25812,2.80347,0.87173,0.44334,0.66353,0.36255,1.94954,1.13254,2.7795,0.0600225,0.00512857,0.00512857
2,1814.17,2.10002,1.31634,2.86088,0.93647,0.23865,0.58552,0.34492,1.91973,1.10937,2.73223,0.0199153,0.0101592,0.0101592
3,2719.13,2.10908,1.32829,2.87526,0.95112,0.26026,0.6059,0.37841,1.87151,1.14426,2.66952,0.011145,0.011145,0.011145
4,3623.82,2.11376,1.32923,2.87481,0.91423,0.31589,0.61761,0.37025,1.83185,1.15841,2.66628,0.0110326,0.0110326,0.0110326
5,4528.7,2.12347,1.33946,2.88324,0.91594,0.31095,0.61586,0.36109,1.89535,1.14614,2.68917,0.0109201,0.0109201,0.0109201
6,5433.07,2.1163,1.33567,2.88854,0.9525,0.22973,0.59099,0.37399,1.86522,1.13461,2.67935,0.0108076,0.0108076,0.0108076
7,6341.14,2.10306,1.32476,2.86941,0.92948,0.29929,0.6171,0.3686,1.89993,1.15206,2.67584,0.0106951,0.0106951,0.0106951
8,7252.33,2.10775,1.32688,2.87432,0.93171,0.33784,0.63558,0.38063,1.82089,1.09872,2.6291,0.0105826,0.0105826,0.0105826
9,8164.84,2.11113,1.32424,2.85583,0.93581,0.33304,0.63614,0.38438,1.87135,1.1034,2.68094,0.0104702,0.0104702,0.0104702
10,9077.38,2.10852,1.33436,2.88011,0.95235,0.23446,0.59466,0.36801,1.83401,1.12337,2.66674,0.0103577,0.0103577,0.0103577
11,9988.52,2.08299,1.31591,2.85048,0.93992,0.28975,0.6154,0.37071,1.88048,1.12489,2.70656,0.0102452,0.0102452,0.0102452
12,10900.4,2.09755,1.3199,2.85631,0.90026,0.35478,0.63094,0.3656,1.88004,1.10944,2.6935,0.0101327,0.0101327,0.0101327
13,11811.8,2.10026,1.32102,2.86108,0.88587,0.38496,0.63721,0.36638,1.8838,1.093,2.7179,0.0100202,0.0100202,0.0100202
14,12723.1,2.10593,1.3277,2.88253,0.91602,0.38311,0.65223,0.38678,1.8468,1.08363,2.65809,0.00990775,0.00990775,0.00990775
15,13635.1,2.09221,1.31306,2.85218,0.91338,0.37179,0.64599,0.3845,1.82709,1.09962,2.64869,0.00979526,0.00979526,0.00979526
16,14568.3,2.09782,1.32338,2.86047,0.95846,0.26272,0.6116,0.38009,1.83512,1.09331,2.63393,0.00968278,0.00968278,0.00968278
17,15531.2,2.0984,1.3168,2.85379,0.93972,0.32185,0.6319,0.38633,1.8281,1.10479,2.63511,0.0095703,0.0095703,0.0095703
18,16532.8,2.08294,1.30706,2.84346,0.94945,0.31438,0.63402,0.39051,1.83952,1.08087,2.64204,0.00945782,0.00945782,0.00945782
19,17444.9,2.09061,1.31396,2.85149,0.91574,0.35711,0.64004,0.38161,1.82092,1.08631,2.62325,0.00934534,0.00934534,0.00934534
20,18464.6,2.08662,1.30555,2.84517,0.92564,0.34922,0.64055,0.3787,1.84782,1.11252,2.66757,0.00923286,0.00923286,0.00923286
21,19381.5,2.08286,1.30219,2.83573,0.93818,0.30292,0.62327,0.38839,1.80275,1.09361,2.60859,0.00912038,0.00912038,0.00912038
22,20292.6,2.08145,1.30579,2.84805,0.93286,0.33358,0.63579,0.38849,1.8118,1.08441,2.60541,0.0090079,0.0090079,0.0090079
23,21204.6,2.08503,1.30693,2.84359,0.94956,0.30477,0.62926,0.39459,1.80995,1.0928,2.61924,0.00889542,0.00889542,0.00889542
24,22149.2,2.09556,1.31816,2.85623,0.93927,0.35965,0.65243,0.40161,1.79771,1.08421,2.61847,0.00878293,0.00878293,0.00878293
25,23072.5,2.07291,1.30315,2.83991,0.90367,0.41247,0.66461,0.39969,1.79628,1.06992,2.60625,0.00867045,0.00867045,0.00867045
26,24044.4,2.06878,1.29391,2.82483,0.95415,0.31259,0.63456,0.3975,1.80114,1.08869,2.59187,0.00855797,0.00855797,0.00855797
27,24956.1,2.07643,1.30139,2.83012,0.94837,0.30868,0.63041,0.38771,1.84277,1.09288,2.65479,0.00844549,0.00844549,0.00844549
28,25866.9,2.07711,1.30901,2.84357,0.93563,0.32405,0.6317,0.38768,1.8241,1.08148,2.64227,0.00833301,0.00833301,0.00833301
29,26777.9,2.05329,1.29029,2.83428,0.9426,0.35259,0.64993,0.4035,1.79564,1.0549,2.59493,0.00822053,0.00822053,0.00822053
30,27689.3,2.06435,1.29356,2.83119,0.94336,0.34161,0.64458,0.40173,1.78645,1.06154,2.60602,0.00810805,0.00810805,0.00810805
31,28600.1,2.07239,1.29884,2.83964,0.95005,0.3366,0.64467,0.40121,1.78776,1.05491,2.5893,0.00799557,0.00799557,0.00799557
32,29511.3,2.06476,1.29239,2.81911,0.94895,0.34936,0.64996,0.40716,1.76448,1.06261,2.55908,0.00788308,0.00788308,0.00788308
